,id1,id2
0,1693644,2788947
1,1656693,2382820
2,1015840,2262088
3,1082243,2240031
4,1578775,2726070
5,1490443,2502340
6,1338823,2942437
7,1559720,2468662
8,1365657,2219940
9,1825224,2512901
10,1625955,2482901
11,1475328,2287305
12,1672391,2772318
13,1112525,2328187
14,1240267,2374408
15,1202273,2104187
16,1939693,2972013
17,1570928,2871550
18,1789396,2576565
19,1394156,2170863
20,1336325,2817911
21,1453314,2536880
22,1665897,2328645
23,1750853,2410418
24,1234885,2463213
25,1762314,2866847
26,1850033,2139548
27,1413600,2954351
28,1868876,2428853
29,1367720,2703596
30,1432377,2233483
31,1859951,2206236
32,1052834,2738887
33,1732333,2801028
34,1862898,2298150
35,1407713,2264998
36,1309071,2960473
37,1275296,2978383
38,1842320,2717087
39,1640075,2899771
40,1386761,2747743
41,1664687,2344231
42,1969808,2804394
43,1729477,2540382
44,1459797,2012251
45,1037270,2754052
46,1359064,2312059
47,1176018,2096354
48,1803483,2631833
49,1611560,2082801
50,1263357,2510276
51,1281700,2460416
52,1719043,2395495
53,1623963,2126874
54,1883244,2316131
55,1279985,2123834
56,1136130,2651613
57,1261174,2003254
58,1405046,2689470
59,1513017,2519380
60,1997115,2664544
61,1037385,2669339
62,1385248,2331482
63,1047969,2646256
64,1169706,2519380
65,1126544,2932318
66,1558190,2531474
67,1378185,2263770
68,1891305,2965755
69,1051519,2668987
70,1879335,2416138
71,1089232,2971136
72,1198390,2244245
73,1647279,2029708
74,1880337,2536549
75,1439632,2222451
76,1511648,2366788
77,1508749,2597405
78,1289722,2699389
79,1317487,2733315
80,1835544,2094041
81,1643137,2694917
82,1310896,2953943
83,1565324,2282775
84,1503846,2456462
85,1445664,2744659
86,1880436,2484131
87,1203628,2883279
88,1265850,2203765
89,1520205,2512833
90,1558436,2941200
91,1211059,2419423
92,1071046,2978672
93,1495369,2225664
94,1465810,2626829
95,1349204,2559025
96,1763753,2714098
97,1818571,2741648
98,1709095,2018289
99,1321262,2572134
100,1762699,2522138
101,1504390,2129580
102,1572707,2120523
103,1597348,2892608
104,1784134,2196426
105,1030869,2018061
106,1247696,2871550
107,1925337,2334509
108,1413581,2510276
109,1657947,2387407
110,1105300,2741648
111,1595615,2381513
112,1920933,2154098
113,1301528,2388795
114,1376512,2390413
115,1250993,2367412
116,1365359,2312777
117,1842793,2279657
118,1098326,2028597
119,1780456,2585406
120,1686912,2208302
121,1454457,2826391
122,1246063,2423204
123,1624832,2907815
124,1737349,2376619
125,1009228,2291502
126,1394324,2406046
127,1530441,2851954
128,1886914,2320328
129,1154918,2029708
130,1647816,2141321
131,1546324,2210070
132,1640198,2126843
133,1814836,2191309
134,1268594,2416871
135,1852659,2883995
136,1449724,2797058
137,1280370,2077060
138,1718560,2512833
139,1369853,2586593
140,1345195,2247735
141,1689144,2553589
142,1681941,2393702
143,1809495,2353469
144,1511627,2375899
145,1393313,2049524
146,1640386,2951729
147,1479756,2631104
148,1698307,2877790
149,1897715,2988690
150,1625509,2553154
151,1489571,2336685
152,1087522,2323698
153,1019940,2960762
154,1241986,2080804
155,1099315,2302283
156,1573593,2962914
157,1710063,2459952
158,1442949,2814212
159,1303895,2060878
160,1518443,2152558
161,1447681,2383935
162,1424177,2190108
163,1653703,2634888
164,1068015,2094284
165,1671448,2986138
166,1655028,2336209
167,1114962,2125152
168,1689039,2996296
169,1054324,2368464
170,1487253,2845229
171,1014270,2475433
172,1699511,2423568
173,1815012,2669339
174,1883447,2411086
175,1700074,2491348
176,1068912,2977555
177,1149104,2008015
178,1602451,2595886
179,1487566,2179576
180,1944073,2699855
181,1775562,2016884
182,1379142,2049104
183,1156995,2015332
184,1398141,2423844
185,1759233,2548243
186,1626497,2828474
187,1293117,2390121
188,1938344,2848792
189,1214725,2687325
190,1496173,2986138
191,1080950,2977512
192,1022407,2379544
193,1733435,2726070
194,1774467,2043062
195,1722347,2898897
196,1945523,2317808
197,1455119,2123879
198,1634159,2919978
199,1772256,2356020
200,1043294,2011593
201,1736780,2455217
202,1275674,2585649
203,1496628,2370919
204,1066972,2077060
205,1661047,2436004
206,1324664,2216319
207,1229758,2380405
208,1394310,2157060
209,1242267,2711447
210,1212863,2438364
211,1384127,2833287
212,1444662,2652991
213,1555930,2008015
214,1533758,2247914
215,1091323,2580521
216,1952749,2041945
217,1234030,2765759
218,1903259,2384404
219,1913074,2833287
220,1071371,2492831
221,1746743,2287715
222,1565038,2970300
223,1646969,2391616
224,1194205,2457237
225,1608064,2566189
226,1205438,2197881
227,1057090,2446438
228,1582409,2490933
229,1947879,2768076
230,1976242,2863326
231,1443677,2614962
232,1705968,2010732
233,1634536,2186394
234,1544805,2866935
235,1033340,2007230
236,1592908,2741399
237,1558715,2855038
238,1657372,2394834
239,1742271,2606497
240,1105431,2773432
241,1032414,2281181
242,1020803,2334509
243,1069100,2216319
244,1413559,2536549
245,1939842,2621073
246,1561925,2864460
247,1398679,2937879
248,1552235,2076739
249,1723127,2885494
250,1589796,2325256
251,1228774,2057203
252,1035340,2012309
253,1174826,2886225
254,1554200,2298150
255,1049315,2996085
256,1739445,2365559
257,1518811,2060878
258,1836286,2157690
259,1115905,2684357
260,1917113,2794857
261,1365005,2964875
262,1264075,2595659
263,1591735,2421876
264,1033014,2780851
265,1573803,2945908
266,1349492,2319603
267,1647255,2577782
268,1767001,2741059
269,1989543,2648261
270,1346222,2279276
271,1135077,2436503
272,1609763,2599492
273,1582338,2715072
274,1422594,2387407
275,1425522,2407329
276,1815926,2147974
277,1807277,2272042
278,1071975,2483290
279,1073167,2434651
280,1437317,2557501
281,1939416,2162267
282,1272978,2046962
283,1644328,2901902
284,1851387,2196665
285,1439276,2703845
286,1018096,2664499
287,1130238,2185376
288,1355571,2597649
289,1084368,2055444
290,1889787,2246083
291,1239616,2064410
292,1937660,2624076
293,1420880,2845229
294,1286747,2000101
295,1118207,2801955
296,1495759,2835719
297,1429365,2345375
298,1462679,2354331
299,1511919,2409250
300,1505332,2300530
301,1091138,2503291
302,1139711,2648261
303,1322831,2914372
304,1463162,2720167
305,1170562,2907878
306,1598759,2263770
307,1373388,2930124
308,1155286,2238180
309,1995866,2267230
310,1546680,2132256
311,1487308,2025256
312,1205881,2587829
313,1743196,2170863
314,1709244,2935315
315,1868141,2967374
316,1958691,2477471
317,1602119,2560062
318,1127318,2330455
319,1532050,2821922
320,1739726,2053299
321,1907336,2105949
322,1728616,2937035
323,1769461,2354633
324,1037540,2398664
325,1971099,2186103
326,1421006,2053973
327,1144305,2928117
328,1711382,2804411
329,1548716,2330455
330,1805517,2664544
331,1607746,2260151
332,1857508,2069883
333,1290086,2759164
334,1727619,2825006
335,1802641,2672731
336,1842832,2678344
337,1910107,2560781
338,1034104,2564392
339,1169901,2779648
340,1448616,2343419
341,1115066,2147884
342,1225845,2091165
343,1184840,2796764
344,1937387,2688514
345,1016062,2684974
346,1274104,2553083
347,1056401,2990243
348,1444501,2480524
349,1666951,2639225
350,1513168,2204436
351,1936337,2286659
352,1007529,2964273
353,1932044,2028477
354,1467852,2476711
355,1772615,2802929
356,1285485,2683157
357,1360335,2334509
358,1063793,2363646
359,1929308,2716016
360,1236813,2077082
361,1919554,2141731
362,1264892,2847501
363,1455018,2355966
364,1948833,2747517
365,1514073,2071298
366,1553743,2970460
367,1412273,2592165
368,1324137,2400070
369,1711408,2011674
370,1388928,2176846
371,1106546,2631104
372,1474206,2988079
373,1335506,2917648
374,1402468,2030644
375,1005192,2764090
376,1517904,2311644
377,1162733,2135394
378,1524935,2555815
379,1511589,2627247
380,1246932,2338452
381,1530451,2994762
382,1403030,2081570
383,1040984,2029708
384,1393753,2711266
385,1757776,2439990
386,1591494,2976216
387,1534160,2271720
388,1184647,2271359
389,1814623,2336098
390,1167117,2612052
391,1283523,2887818
392,1939951,2007718
393,1703008,2774818
394,1088087,2841804
395,1491865,2117577
396,1137666,2453015
397,1633102,2022088
398,1885368,2079187
399,1311835,2141069
400,1626174,2738291
401,1971874,2160696
402,1736426,2572503
403,1403777,2540031
404,1108544,2437004
405,1172679,2354389
406,1255190,2743769
407,1726187,2600317
408,1466700,2928594
409,1570517,2109344
410,1306494,2777723
411,1037226,2130828
412,1449853,2216319
413,1133014,2214867
414,1128555,2224564
415,1622606,2156298
416,1383713,2843512
417,1695830,2423565
418,1399508,2455653
419,1445888,2203559
420,1304683,2550862
421,1088711,2187102
422,1924740,2649529
423,1900431,2698098
424,1240450,2627247
425,1451110,2028477
426,1829108,2462012
427,1028719,2402834
428,1627884,2317605
429,1595762,2827142
430,1184518,2120523
431,1329007,2901902
432,1133936,2387717
433,1813733,2129824
434,1539628,2356692
435,1935156,2860994
436,1184079,2098653
437,1650284,2333384
438,1113144,2099758
439,1569403,2960762
440,1487789,2279657
441,1885929,2650571
442,1306500,2276293
443,1787109,2601583
444,1201668,2565350
445,1026302,2558519
446,1545038,2411086
447,1271498,2052110
448,1853973,2310728
449,1311190,2580521
450,1144420,2514531
451,1064437,2819495
452,1416580,2511443
453,1486888,2195461
454,1346402,2990455
455,1829209,2646256
456,1001966,2488689
457,1805291,2340955
458,1018651,2893229
459,1777193,2726070
460,1789730,2692717
461,1291129,2833287
462,1701169,2057110
463,1929946,2970517
464,1773088,2751562
465,1454494,2629038
466,1595827,2817312
467,1536086,2267560
468,1369080,2566189
469,1414707,2069927
470,1734382,2204090
471,1335523,2614732
472,1465742,2844752
473,1288117,2836704
474,1522415,2634888
475,1609183,2710205
476,1816988,2003982
477,1242485,2472348
478,1980783,2365930
479,1480412,2118797
480,1670349,2037572
481,1242548,2038148
482,1920045,2684211
483,1289045,2944945
484,1025200,2888541
485,1387940,2483139
486,1632100,2335526
487,1073113,2398595
488,1062494,2526597
489,1030061,2688468
490,1080445,2236836
491,1143315,2318081
492,1624112,2897495
493,1817334,2841115
494,1058108,2570720
495,1986717,2381945
496,1325894,2231743
497,1497846,2816416
498,1495312,2634888
499,1951032,2335415
500,1237357,2129766
501,1690847,2845247
502,1207238,2195755
503,1336126,2920916
504,1780522,2219201
505,1034799,2537709
506,1833571,2147765
507,1010639,2899771
508,1657173,2057344
509,1790508,2604807
510,1620051,2292240
511,1350546,2238904
512,1720842,2109344
513,1078913,2903471
514,1949066,2961030
515,1886944,2328645
516,1396557,2841115
517,1816543,2895306
518,1658983,2640888
519,1336597,2841115
520,1641724,2191593
521,1578998,2184610
522,1057482,2164231
523,1687962,2964169
524,1002185,2363276
525,1431631,2627620
526,1059665,2753512
527,1378057,2629692
528,1276424,2636302
529,1080858,2202728
530,1289047,2934513
531,1856894,2044151
532,1609595,2474629
533,1388034,2657746
534,1875913,2819885
535,1258440,2843512
536,1909736,2804762
537,1577431,2779063
538,1275248,2742712
539,1606711,2321877
540,1275387,2488047
541,1347871,2420213
542,1977464,2743848
543,1495582,2963975
544,1424255,2520177
545,1885506,2986721
546,1216702,2712017
547,1337599,2863326
548,1019218,2104540
549,1258745,2355966
550,1627069,2212373
551,1239705,2474599
552,1275531,2495681
553,1781355,2999753
554,1446756,2619878
555,1260403,2638767
556,1980971,2999248
557,1909303,2863326
